"Wright2-0340",NA,"Bradbury; Osgood.","The fair Quakeress or The perjured lawyer",NA,NA,1857,NA,NA
"Wright2-0341",NA,"Bradbury; Osgood.","Female depravity or The house of death",NA,NA,1857,NA,NA
"Wright2-0342",NA,"Bradbury; Osgood.","The flower of the forest or The discarded daughter",NA,NA,1857,NA,NA
"Wright2-0343",NA,"Bradbury; Osgood.","The gambler's league or The trials of a country maid",NA,NA,1857,NA,NA
"Wright2-0344",NA,"Bradbury; Osgood.","The haunted castle or The abducted niece",NA,NA,1857,NA,NA
"Wright2-0345",NA,"Bradbury; Osgood.","Jane Clark or Scenes in metropolitan life",NA,NA,1855,NA,NA
"Wright2-0347",NA,"Bradbury; Osgood.","The modern Othello or The guilty wife",NA,NA,1855,NA,NA
"Wright2-0348",NA,"Bradbury; Osgood.","The mutineer or Heaven's vengeance",NA,NA,1857,NA,NA
"Wright2-0349",NA,"Bradbury; Osgood.","The mysterious foundling or The gamester's fate",NA,NA,1857,NA,NA
"Wright2-0350",NA,"Bradbury; Osgood.","The old distiller",NA,NA,1851,NA,NA
"Wright2-0351",NA,"Bradbury; Osgood.","The rival lovers or The midnight murder",NA,NA,1857,NA,NA
"Wright2-0353",NA,"Bradford; Sarah H.","Lewie or The bended twig",NA,NA,1853,NA,NA
"Wright2-0354",NA,"Bradford; Sarah H.","The Linton family or The fashion of this world",NA,NA,1860,NA,NA
"Wright2-0355",NA,"Bradford; Sarah H.","Ups and downs or Silver Lake sketches",NA,NA,1854,NA,NA
"Wright2-0356A",NA,"Bradley; James A.","A story of Ocean Grove",NA,NA,1874,NA,NA
"Wright2-0357",NA,"Brady; James T.","A Christmas dream",NA,NA,1860,NA,NA
"Wright2-0358",NA,"Brady; James T.","A Christmas dream",NA,NA,1860,NA,NA
"Wright2-0359",NA,"Braganza.","Tekel or Cora Glencoe",NA,NA,1870,NA,NA
"Wright2-0360",NA,"Brandon; Curris.","David Woodburn the mountain missionary",NA,NA,1865,NA,NA
"Wright2-0362",NA,"Brewster; Anne M. H.","St. Martin's summer",NA,NA,1866,NA,NA
"Wright2-0363",NA,"Bridges; James.","The collier's tale",NA,NA,1853,NA,NA
"Wright2-0364",NA,"Brierwood; Frank.","Mabel Clifton",NA,NA,1869,NA,NA
"Wright2-0365",NA,"Bright; A. M.","The three Bernices or Ansermo of the Crag",NA,NA,1869,NA,NA
"Wright2-0366",NA,"Brinton; Bulah","Man is love",NA,NA,1873,NA,NA
"Wright2-0367",NA,"Anonymous","Brisée",NA,NA,1862,NA,NA
"Wright2-0368",NA,"Bristed; Charles Astor","The upper ten thousand",NA,NA,1852,NA,NA
"Wright2-0369",NA,"Brittan; Harriette G.","Shoshie",NA,NA,1873,NA,NA
"Wright2-0370",NA,"Anonymous","Broken columns",NA,NA,1863,NA,NA
"Wright2-0371",NA,"Anonymous","Brook Farm",NA,NA,1860,NA,NA
"Wright2-0371A",NA,"Brooks; Alice","Day dreams",NA,NA,1874,NA,NA
"Wright2-0372",NA,"Anonymous","Brother Mason the circuit rider or Ten years a Methodist preacher",NA,NA,1858,NA,NA
"Wright2-0373",NA,"Brotherhead; Alfred P.","Himself his worst enemy or Philip Duke of Wharton's career",NA,NA,1871,NA,NA
"Wright2-0374",NA,"Brougham; John","A basket of chips",NA,NA,1855,NA,NA
"Wright2-0375",NA,"Brougham; John","The Bunsby papers.",NA,NA,1856,NA,NA
"Wright2-0376",NA,"Brougham; John","The light of home",NA,NA,1868,NA,NA
"Wright2-0377",NA,"Brown; David","The planter or Thirteen years in the South",NA,NA,1853,NA,NA
"Wright2-0378",NA,"Brown; E. E.","From night to light",NA,NA,1872,NA,NA
"Wright2-0379",NA,"Skinner; Mose","Mose Skinner's bridal tour and other sketches",NA,NA,1871,NA,NA
"Wright2-0380",NA,"Skinner; Mose","Mose Skinner's great world's jubilee and humstrum convulsion",NA,NA,1872,NA,NA
"Wright2-0381",NA,"Skinner; Mose","Mose Skinner's silver wedding",NA,NA,1873,NA,NA
"Wright2-0382",NA,"Skinner; Mose","Our great peace festival and pow-wow",NA,NA,1869,NA,NA
"Wright2-0383",NA,"Skinner; Mose","Recollections of a lazy life",NA,NA,1869,NA,NA
"Wright2-0385",NA,"Brown; Nathan","The history of Magnus Maharba and the Black Dragon",NA,NA,1867,NA,NA
"Wright2-0386",NA,"Brown; Nathan","ZYX and his fairy or The soul in search of peace",NA,NA,1867,NA,NA
"Wright2-0388",NA,"Brown; Thurlow W.","Minnie Hermon the rumseller's daughter or Woman in the temperance reform",NA,NA,1874,NA,NA
"Wright2-0389",NA,"Brown; Thurlow W.","Why I am a temperance man",NA,NA,1853,NA,NA
"Wright2-0390",NA,"Brown; William Wells","Clotelle",NA,NA,1864,NA,NA
"Wright2-0391",NA,"Brown; William Wells","Clotelle or The colored heroine",NA,NA,1867,NA,NA
"Wright2-0392",NA,"Ward; Artemus","Artemus Ward",NA,NA,1862,NA,NA
"Wright2-0393",NA,"Ward; Artemus","Artemus Ward his travels",NA,NA,1865,NA,NA
"Wright2-0394",NA,"Ward; Artemus","Artemus Ward in London",NA,NA,1867,NA,NA
"Wright2-0395",NA,"Ward; Artemus","Artemus Ward's panorama",NA,NA,1869,NA,NA
"Wright2-0396",NA,"Ward; Artemus","Sandwiches",NA,NA,1870,NA,NA
"Wright2-0398",NA,"Browne; J. Ross","An American family in Germany",NA,NA,1866,NA,NA
"Wright2-0401",NA,"Browne; J. Ross","Yusef or The journey of the Frangi",NA,NA,1853,NA,NA
"Wright2-0402",NA,"Browne; Martha Griffith","Autobiography of a female slave",NA,NA,1857,NA,NA
"Wright2-0403",NA,"Browning; Meshach","Forty-four years of the life of a hunter",NA,NA,1859,NA,NA
"Wright2-0404",NA,"Brownson; Orestes Augustus","The spirit-rapper",NA,NA,1854,NA,NA
"Wright2-0406",NA,"Bruce; E. M.","A thousand a year",NA,NA,1866,NA,NA
"Wright2-0407",NA,"Buckingham; Emma May.","A self-made woman or Mary Idyl's trials and triumphs",NA,NA,1873,NA,NA
"Wright2-0408",NA,"Buckingham; Henry A.","Harry Burnham the young Continental or Memoirs of an American officer during the campaigns of the Revolution and sometime a member of Washington's staff",NA,NA,1851,NA,NA
"Wright2-0409",NA,"Buckley; Maria L.","Amanda Willson or The vicissitudes of life",NA,NA,1856,NA,NA
"Wright2-0410",NA,"Buckley; Maria L.","Edith Moreton or Temperance versus intemperance",NA,NA,1852,NA,NA
"Wright2-0411",NA,"Bulfinch; S. G.","Honor or The slave-dealer's daughter",NA,NA,1864,NA,NA
"Wright2-0412",NA,"Bullard; A. T. J.","Love affairs in our village twenty years ago",NA,NA,1852,NA,NA
"Wright2-0413",NA,"Bullard; A. T. J.","Matrimony or Love affairs in our village twenty years ago",NA,NA,1853,NA,NA
"Wright2-0414",NA,"Bullard; Laura Curtis.","Christine or Woman's trials and triumphs",NA,NA,1856,NA,NA
"Wright2-0415",NA,"Bullard; Laura Curtis.","Now-a-days!",NA,NA,1854,NA,NA
"Wright2-0416",NA,"Bunce; Oliver Bell","A bachelor's story",NA,NA,1859,NA,NA
"Wright2-0417",NA,"Bunce; Oliver Bell","Bensley a story of to-day",NA,NA,1863,NA,NA
"Wright2-0418",NA,"Bunce; Oliver Bell","Life before him",NA,NA,1860,NA,NA
"Wright2-0419",NA,"Bunkley; Josephine M.","The testimony of an escaped novice from the Sisterhood of St. Joseph Emmettsburg Maryland",NA,NA,1855,NA,NA
"Wright2-0420",NA,"Burckett; Florence.","Wildmoor",NA,NA,1875,NA,NA
"Wright2-0421",NA,"Burdett; Charles","Dora Barton the banker's ward",NA,NA,1860,NA,NA
"Wright2-0422",NA,"Burdett; Charles","Margaret Moncrieffe",NA,NA,1860,NA,NA
"Wright2-0423",NA,"Burdett; Charles","The second marriage or A daughter's trials",NA,NA,1856,NA,NA
"Wright2-0424",NA,"Burdett; Charles","Three per cent. a month or The perils of fast living",NA,NA,1856,NA,NA
"Wright2-0425",NA,"[None]","First quarrels and first discords in married life",NA,NA,1864,NA,NA
"Wright2-0426",NA,"[None]","Polly Peablossom's wedding",NA,NA,1851,NA,NA
"Wright2-0428",NA,"Burnham; Geo. P.","The history of the hen fever",NA,NA,1855,NA,NA
"Wright2-0429",NA,"Burnham; Geo. P.","A hundred thousand dollars in gold",NA,NA,1875,NA,NA
"Wright2-0431",NA,"Burnham; Geo. P.","The rag-picker or Bound and free",NA,NA,1855,NA,NA
"Wright2-0432",NA,"Burns; William.","Female life in New York City",NA,NA,1875,NA,NA
"Wright2-0433",NA,"Burton; H. S. (Henry S.); Mrs.","Who would have thought it?",NA,NA,1872,NA,NA
"Wright2-0434",NA,"Burts; Robert","The sea-king",NA,NA,1851,NA,NA
"Wright2-0435",NA,"Burwell; William M.","White Acre vs. Black Acre",NA,NA,1856,NA,NA
"Wright2-0437",NA,"Bushnell; William H.","The pearl of Panama; or The Spaniard's vengence",NA,NA,1867,NA,NA
"Wright2-0438",NA,"Bushnell; William H.","Prairie fire!",NA,NA,1854,NA,NA
"Wright2-0439",NA,"Laing; Caroline H. Butler","Life in varied phases",NA,NA,1851,NA,NA
"Wright2-0439A",NA,"Buz.","Dolby and father",NA,NA,1868,NA,NA
"Wright2-0440",NA,"Byrn; M. Lafayette","The life and adventures of an Arkansaw doctor",NA,NA,1851,NA,NA
"Wright2-0441",NA,"Byrn; M. Lafayette","The adventures of Fudge Fumble or The love scrapes of his whole life",NA,NA,1865,NA,NA
"Wright2-0442",NA,"Byrn; M. Lafayette","Rattlehead's chronicles or A little experience with old maids and young maids old bachelors fools and drunkards quack doctors men of science and the world at large",NA,NA,1852,NA,NA
"Wright2-0443",NA,"Byrn; M. Lafayette","Rattlehead's travels or The recollections of a backwoods man that has travelled many thousand miles on the highway of human destiny brought about a revolution in domestic happiness and effected a general shake-up of creation",NA,NA,1852,NA,NA
"Wright2-0444",NA,"Cabell; Julia Mayo.","An odd volume of facts and fictions",NA,NA,1852,NA,NA
"Wright2-0445",NA,"Caffrey; Andrew.","The adventures of a lodger",NA,NA,1868,NA,NA
"Wright2-0446",NA,"Caldcleugh; W. G.","Eastern tales",NA,NA,1863,NA,NA
"Wright2-0448",NA,"Caldwell; John H.","The mysterious messenger",NA,NA,1860,NA,NA
"Wright2-0449",NA,"Caldwell; John H.","The Thurstons of the old Palmetto State or Varieties of Southern life",NA,NA,1861,NA,NA
"Wright2-0450",NA,"Cambridge; William G.","Glenwood or The parish boy",NA,NA,1855,NA,NA
"Wright2-0451",NA,"Cambridge; William G.","Henri or The web and woof of life",NA,NA,1853,NA,NA
"Wright2-0452",NA,"Cambridge; William G.","The mechanic's bride or The autobiography of Elwood Gorden",NA,NA,1857,NA,NA
"Wright2-0453",NA,"LeGrange; H. M.","Salted with fire",NA,NA,1872,NA,NA
"Wright2-0454",NA,"Campbell; Jane C.","The money-maker",NA,NA,1854,NA,NA
"Wright2-0455",NA,"Campbell; Juliet H. L.","Eros and anteros or The bachelor's ward",NA,NA,1857,NA,NA
"Wright2-0457",NA,"Cannon; Charles James","Ravellings from the web of life",NA,NA,1855,NA,NA
"Wright2-0458",NA,"Cannon; Charles James","Tighe Lyfford",NA,NA,1859,NA,NA
"Wright2-0459",NA,"Cannon; Susan.","Maidee the alchemist or Turning all to gold",NA,NA,1871,NA,NA
"Wright2-0461",NA,"Capron; Carrie.","Helen Lincoln",NA,NA,1856,NA,NA
"Wright2-0462",NA,"Captain Le Diable.","Historical sketch of the third annual conquest of Florida",NA,NA,1864,NA,NA
"Wright2-0463",NA,"Anonymous","The Career of John Mortal",NA,NA,1859,NA,NA
"Wright2-0464",NA,"Carpenter; W. H.","The regicide's daughter",NA,NA,1851,NA,NA
"Wright2-0465",NA,"Carter; John Henton.","The log of Commodore Rollingpin",NA,NA,1874,NA,NA
"Wright2-0466",NA,"Cary; Alice","The adopted daughter",NA,NA,1859,NA,NA
"Wright2-0467",NA,"Cary; Alice","The bishop's son",NA,NA,1867,NA,NA
"Wright2-0468",NA,"Cary; Alice","Clovernook or Recollections of our neighborhood in the West",NA,NA,1852,NA,NA
"Wright2-0469",NA,"Cary; Alice","Clovernook or Recollections of our neighborhood in the West.",NA,NA,1853,NA,NA
"Wright2-0470",NA,"edited by Alice and Phoebe Cary","From year to year!",NA,NA,1869,NA,NA
"Wright2-0471",NA,"Cary; Alice","Hagar",NA,NA,1852,NA,NA
"Wright2-0472",NA,"Cary; Alice","Married not mated or How they lived at Woodside and Throckmorton Hall",NA,NA,1856,NA,NA
"Wright2-0473",NA,"Cary; Alice","Pictures of country life",NA,NA,1859,NA,NA
"Wright2-0474",NA,"Casseday; Davis B.","The Hortons or American life at home",NA,NA,1866,NA,NA
"Wright2-0475",NA,"Cassidy; Patrick Sarsfield","Glenveigh or The victim of vengeance",NA,NA,1870,NA,NA
"Wright2-0476",NA,"Catherwood; Mary Hartwell","A woman in armor",NA,NA,1875,NA,NA
"Wright2-0477",NA,"Montgomery; Cora","Eagle Pass or Life on the border",NA,NA,1852,NA,NA
"Wright2-0478",NA,"Anonymous","The chained wife or The frightful sufferings of Mary Lesley",NA,NA,1874,NA,NA
"Wright2-0479",NA,"Challen; James.","Frank Elliott or Wells in the desert",NA,NA,1859,NA,NA
"Wright2-0480",NA,"Chamberlain; Charles.","Put to the test",NA,NA,1874,NA,NA
"Wright2-0481",NA,"Chamberlain; Charles.","The servant-girl of the period the greatest plague of life",NA,NA,1873,NA,NA
"Wright2-0485",NA,"Chandler; Joseph R.","The Beverly family or Home influence of religion",NA,NA,1875,NA,NA
"Wright2-0486",NA,"Chanter; Washington.","The Nautch girl",NA,NA,1868,NA,NA
"Wright2-0487",NA,"Chapin; Gardner B.","Tales of the St. Lawrence",NA,NA,1873,NA,NA
"Wright2-0489",NA,"Chaplin; Jane Dunbar","The convent and the manse",NA,NA,1853,NA,NA
"Wright2-0490",NA,"Chaplin; Jane Dunbar","Out of the wilderness",NA,NA,1870,NA,NA
"Wright2-0494",NA,"Cheever; Henry P.","A reel in a bottle for Jack in the doldrums;  being the adventures of two of the King's seamen in a voyage to the celestial country",NA,NA,1852,NA,NA
"Wright2-0495",NA,"Cheever; Henry P.","The rival brothers or The corsair and privateer",NA,NA,1852,NA,NA
"Wright2-0496",NA,"Chellis; Mary Dwinell.","At lion's mouth",NA,NA,1872,NA,NA
"Wright2-0497",NA,"Chellis; Mary Dwinell.","Aunt Dinah's pledge",NA,NA,1869,NA,NA
"Wright2-0498",NA,"Chellis; Mary Dwinell.","Bill Drock's investment",NA,NA,1869,NA,NA
"Wright2-0499",NA,"Chellis; Mary Dwinell.","Deacon Sims' prayers",NA,NA,1868,NA,NA
"Wright2-0500",NA,"Chellis; Mary Dwinell.","Father Merrill",NA,NA,1872,NA,NA
"Wright2-0501",NA,"Chellis; Mary Dwinell.","The hermit of Holcombe",NA,NA,1871,NA,NA
"Wright2-0502",NA,"Chellis; Mary Dwinell.","Mark Dunning's enemy",NA,NA,1870,NA,NA
"Wright2-0506",NA,"Chellis; Mary Dwinell.","Out of the fire",NA,NA,1869,NA,NA
"Wright2-0507",NA,"Chellis; Mary Dwinell.","The temperance doctor",NA,NA,1868,NA,NA
"Wright2-0508",NA,"Chellis; Mary Dwinell.","Wealth and wine",NA,NA,1874,NA,NA
"Wright2-0509",NA,"Cher; Henry W. B.","Gnaw-wood or New England life in a village",NA,NA,1868,NA,NA
"Wright2-0510",NA,"Chesebro'; Caroline","The children of light",NA,NA,1853,NA,NA
"Wright2-0511",NA,"Chesebro'; Caroline","Dream-land by daylight",NA,NA,1851,NA,NA
"Wright2-0512",NA,"Chesebro'; Caroline","The foe in the household",NA,NA,1871,NA,NA
"Wright2-0513v1",NA,"Chesebro'; Caroline","Susan the fisherman's daughter or Getting along vol. 1",NA,NA,1855,NA,NA
"Wright2-0513v2",NA,"Chesebro'; Caroline","Susan the fisherman's daughter or Getting along vol. 2",NA,NA,1855,NA,NA
"Wright2-0514",NA,"Chesebro'; Caroline","Isa",NA,NA,1852,NA,NA
"Wright2-0515",NA,"Chesebro'; Caroline","Peter Carradine or The martindale pastoral",NA,NA,1863,NA,NA
"Wright2-0516",NA,"Chesebro'; Caroline","Philly and Kit or Life and raiment",NA,NA,1856,NA,NA
"Wright2-0517",NA,"Chesebro'; Caroline","Victoria or The world overcome",NA,NA,1856,NA,NA
"Wright2-0518",NA,"Child; Lydia Maria Francis","Autumnal leaves",NA,NA,1857,NA,NA
"Wright2-0519",NA,"Child; Lydia Maria Francis","A romance of the republic",NA,NA,1867,NA,NA
"Wright2-0520",NA,"Chinquopin.","George Denny or Sketches of life in the far West",NA,NA,1856,NA,NA
"Wright2-0521",NA,"Choat; J. F.","George Welding or Crime and its consequences",NA,NA,1859,NA,NA
"Wright2-0522A",NA,"Anonymous","The Chronicles of the ""Great Peace Jubilo""",NA,NA,1869,NA,NA
"Wright2-0525",NA,"Church; Ella Rodman","Flights of fancy",NA,NA,1853,NA,NA
"Wright2-0526",NA,"Church; Pharcellus","Mapleton or More work for the Maine law",NA,NA,1853,NA,NA
"Wright2-0528",NA,"Clare; A.; Mrs.","A night at Isley's Grange",NA,NA,1859,NA,NA
"Wright2-0529",NA,"Clare; Marie J.","The trial",NA,NA,1851,NA,NA
"Wright2-0530",NA,"Anonymous","Claremont or The undivided household",NA,NA,1857,NA,NA
"Wright2-0531",NA,"Clark; Alexander","The old log school house",NA,NA,1861,NA,NA
"Wright2-0532",NA,"Clark; Charles Heber","Out of the hurly-burly or Life in an odd corner",NA,NA,1874,NA,NA
"Wright2-0533",NA,"Clark; George Edward.","Seven years of a sailor's life",NA,NA,1867,NA,NA
"Wright2-0534",NA,"Clark; S. W.","From the sublime to the ridiculous",NA,NA,1875,NA,NA
"Wright2-0535",NA,"Clark; S. W.","Happy home woman's rights and divorce",NA,NA,1875,NA,NA
"Wright2-0536",NA,"Clark; Thomas M.","John Whopper the newsboy",NA,NA,1871,NA,NA
"Wright2-0537",NA,"Clark; William Adolphus","Agnes Farriday or The harlot's friend",NA,NA,1869,NA,NA
"Wright2-0538",NA,"Clarke; D. W. C.; Mrs.","Lizzie Maitland",NA,NA,1857,NA,NA
"Wright2-0539",NA,"Gordon; Hewes.","Lovers and thinkers",NA,NA,1865,NA,NA
"Wright2-0540",NA,"Clarke; Henry Steele; Mrs.","Their children",NA,NA,1875,NA,NA
"Wright2-0541",NA,"Clarke; M.G.; compiler","Sunshine and shadows along the pathway of life",NA,NA,1865,NA,NA
"Wright2-0541A",NA,"Clarke; Thomas.","Avondale",NA,NA,1874,NA,NA
"Wright2-0542",NA,"Clay; John M.; Mrs.","What will the world say?",NA,NA,1873,NA,NA
"Wright2-0543",NA,"Clemens; Jeremiah","Bernard Lile",NA,NA,1856,NA,NA
"Wright2-0544",NA,"Clemens; Jeremiah","Mustang Gray",NA,NA,1858,NA,NA
"Wright2-0545",NA,"Clemens; Jeremiah","The rivals",NA,NA,1860,NA,NA
"Wright2-0546",NA,"Clemens; Jeremiah","Tobias Wilson",NA,NA,1865,NA,NA
"Wright2-0547",NA,"Twain; Mark","A book for an hour",NA,NA,1873,NA,NA
"Wright2-0548",NA,"Twain; Mark","The celebrated jumping frog of Calaveras County",NA,NA,1867,NA,NA
"Wright2-0549",NA,"Twain; Mark","The gilded age",NA,NA,1873,NA,NA
"Wright2-0550",NA,"Twain; Mark","The innocents abroad or The new Pilgrim's progress",NA,NA,1869,NA,NA
"Wright2-0551",NA,"Twain; Mark","Mark Twain's (burlesque) autobiography and first romance",NA,NA,1871,NA,NA
"Wright2-0552",NA,"Twain; Mark","Mark Twain's sketches",NA,NA,1874,NA,NA
"Wright2-0553",NA,"Twain; Mark","Mark Twain's sketches new and old",NA,NA,1875,NA,NA
"Wright2-0554",NA,"Twain; Mark","Roughing it",NA,NA,1872,NA,NA
"Wright2-0556",NA,"Clifford; Perfumer.","A romance of perfume lands or The search for Capt. Jacob Cole",NA,NA,1875,NA,NA
"Wright2-0557",NA,"Clift; William","The Tim Bunker papers or Yankee farming",NA,NA,1868,NA,NA
"Wright2-0558",NA,"Cline; A. J.","Henry Courtland or What a farmer can do",NA,NA,1870,NA,NA
"Wright2-0559",NA,"Clinton; Park.","Glanmore or The bandits of Saratoga",NA,NA,1853,NA,NA
"Wright2-0560",NA,"Cobb; Brothers.","The veteran of the Grand Army",NA,NA,1870,NA,NA
"Wright2-0562",NA,"Cobb; Sophia Dickinson.","Hillsboro' Farms",NA,NA,1869,NA,NA
"Wright2-0564",NA,"Cobb; Sylvanus","The bravo's secret or The spy of the ""ten""",NA,NA,1851,NA,NA
"Wright2-0565",NA,"Cobb; Sylvanus","The child of the bay or The old sailor's protégé",NA,NA,1852,NA,NA
"Wright2-0566",NA,"Cobb; Sylvanus","The earl's ward or The old chapel and its mysteries",NA,NA,1852,NA,NA
"Wright2-0567",NA,"Cobb; Sylvanus","Fernando or The moor of Castile",NA,NA,1853,NA,NA
"Wright2-0573",NA,"Cobb; Sylvanus","The king's talisman or The young lion of Mount Hor",NA,NA,1851,NA,NA
"Wright2-0575",NA,"Cobb; Sylvanus","The lost heir or The duke and the Lazzarone",NA,NA,1853,NA,NA
"Wright2-0577",NA,"Cobb; Sylvanus","Marco or The female smuggler",NA,NA,1857,NA,NA
"Wright2-0580",NA,"Cobb; Sylvanus","Orlando Chester or The adventures of a young hunter",NA,NA,1852,NA,NA
"Wright2-0584",NA,"Cobb; Sylvanus","The sea lion or The privateer of the Penobscot",NA,NA,1853,NA,NA
"Wright2-0585",NA,"Cobb; Sylvanus","The storm children or The light-keeper of the Channel",NA,NA,1863,NA,NA
"Wright2-0586A",NA,"Cobb; Sylvanus","The Yankee champion or The Tory and his league",NA,NA,1852,NA,NA
"Wright2-0587",NA,"Cochran; Wesley","The emigrants an allegory or Christians vs. the world",NA,NA,1854,NA,NA
"Wright2-0588",NA,"Coffin; Charles Carleton","Caleb Krinkle",NA,NA,1875,NA,NA
"Wright2-0589",NA,"Gray; Barry","Cakes and ale at Woodbine",NA,NA,1868,NA,NA
"Wright2-0591",NA,"Gray; Barry","Matrimonial infelicities",NA,NA,1865,NA,NA
"Wright2-0592",NA,"Gray; Barry","My married life at Hillside",NA,NA,1865,NA,NA
"Wright2-0593",NA,"Gray; Barry","Out of town",NA,NA,1866,NA,NA
"Wright2-0594",NA,"Coggeshall; William Turner","Easy Warren and his contemporaries",NA,NA,1854,NA,NA
"Wright2-0595",NA,"Coggeshall; William Turner","Frontier life and character in the South and West",NA,NA,1860,NA,NA
"Wright2-0596",NA,"Coggeshall; William Turner","Oakshaw or The victims of avarice",NA,NA,1855,NA,NA
"Wright2-0597",NA,"Coleman; William Macon","The wandering Jew in America",NA,NA,1875,NA,NA
"Wright2-0598",NA,"Colesworthy; D. C.","The old bureau and other tales",NA,NA,1861,NA,NA
"Wright2-0598A",NA,"Colfax; Jasper.","Over the brink or The peril of beauty",NA,NA,1869,NA,NA
"Wright2-0599",NA,"Colley; James.","The thrilling adventures of Alice Dunbar",NA,NA,1869,NA,NA
"Wright2-0601",NA,"Jonquil","Queen Krinaleen's plagues or How a simple people were destroyed",NA,NA,1874,NA,NA
"Wright2-0603",NA,"Collis; Lauriston.","The mystery of Holly Tavern",NA,NA,1873,NA,NA
"Wright2-0605",NA,"Comins; Elizabeth B.","The Hartwell farm",NA,NA,1871,NA,NA
"Wright2-0606",NA,"Comstock; William","Betsey Jane Ward (better-half to Artemus)",NA,NA,1866,NA,NA
"Wright2-0607",NA,"Connelly; Emma M.","Under the surface",NA,NA,1873,NA,NA
"Wright2-0610",NA,"Cook; Capt.","A history of the great Narraticon Exploring Expedition of 1866",NA,NA,1867,NA,NA
"Wright2-0611",NA,"Cooke; John Esten","Doctor Vandyke",NA,NA,1872,NA,NA
"Wright2-0612",NA,"Cooke; John Esten","Ellie or The human comedy",NA,NA,1855,NA,NA
"Wright2-0613",NA,"Cooke; John Esten","Fairfax or The master of Greenway Court",NA,NA,1868,NA,NA
"Wright2-0614",NA,"Cooke; John Esten","Hammer and rapier",NA,NA,1870,NA,NA
"Wright2-0615",NA,"Cooke; John Esten","The heir of Gaymount",NA,NA,1870,NA,NA
"Wright2-0616",NA,"Cooke; John Esten","Henry St. John gentleman of ""Flower of Hundreds"" in the county of Prince George Virginia",NA,NA,1859,NA,NA
"Wright2-0617",NA,"Cooke; John Esten","Her majesty the queen",NA,NA,1873,NA,NA
"Wright2-0618",NA,"Cooke; John Esten","Hilt to hilt or Days and nights on the banks of the Shenandoah in the Autumn of 1864",NA,NA,1869,NA,NA
"Wright2-0619",NA,"Cooke; John Esten","Justin Harley",NA,NA,1875,NA,NA
"Wright2-0620",NA,"Cooke; John Esten","The last of the foresters or Humors on the border",NA,NA,1856,NA,NA
"Wright2-0621",NA,"Cooke; John Esten","Leather stocking and silk or Hunter John Myers and his times",NA,NA,1854,NA,NA
"Wright2-0623",NA,"Cooke; John Esten","Out of the foam",NA,NA,1871,NA,NA
"Wright2-0624",NA,"Cooke; John Esten","Pretty Mrs. Gaston and other stories",NA,NA,1874,NA,NA
"Wright2-0625",NA,"Cooke; John Esten","Surry of Eagle's-nest or The memoirs of a staff-officer serving in Virginia",NA,NA,1866,NA,NA
"Wright2-0626v2",NA,"Cooke; John Esten","The Virginia comedians or Old days in the Old Dominion",NA,NA,1854,NA,NA
"Wright2-0627",NA,"Cooke; John Esten","Wearing of the gray",NA,NA,1867,NA,NA
"Wright2-0628",NA,"Cooke; John Esten","The youth of Jefferson or A chronicle of college scrapes at Williamsburg in Virginia A.D. 1764",NA,NA,1854,NA,NA
"Wright2-0629",NA,"Willis; Kate.","Ambition",NA,NA,1856,NA,NA
"Wright2-0630",NA,"Cooper; S. M.","Life in the forest or The trials and sufferings of a pioneer",NA,NA,1854,NA,NA
"Wright2-0631",NA,"Copcutt; Francis.","Leaves from a bachelor's book of life",NA,NA,1860,NA,NA
"Wright2-0632",NA,"Coppinger; John B.","The renegade",NA,NA,1855,NA,NA
"Wright2-0633",NA,"Corbin; Caroline Fairfield","His marriage vow",NA,NA,1874,NA,NA
"Wright2-0634",NA,"Corbin; Caroline Fairfield","Our Bible-class and the good that came of it",NA,NA,1860,NA,NA
"Wright2-0635",NA,"Corbin; Caroline Fairfield","A woman's secret",NA,NA,1867,NA,NA
"Wright2-0636",NA,"Anonymous","Cornelio or The false vocation",NA,NA,1863,NA,NA
"Wright2-0637",NA,"Cornelius; Mary A.","Little wolf",NA,NA,1872,NA,NA
"Wright2-0638",NA,"Cornwallis; Kinahan","Adrift with a vengeance",NA,NA,1870,NA,NA
"Wright2-0639",NA,"Cornwallis; Kinahan","Pilgrims of fashion",NA,NA,1862,NA,NA
"Wright2-0640",NA,"Cornyn; John K.","Dick Wilson the rumseller's victim or Humanity pleading for the ""Maine Law""",NA,NA,1853,NA,NA
"Wright2-0641",NA,"Author of Union to Christ.","Cottage piety exemplified",NA,NA,1869,NA,NA
"Wright2-0642",NA,"Coulson; George James Atkinson.","Harwood",NA,NA,1875,NA,NA
"Wright2-0643",NA,"Coulson; George James Atkinson.","The Lacy diamonds",NA,NA,1875,NA,NA
"Wright2-0644",NA,"Coulson; George James Atkinson.","The odd trump",NA,NA,1875,NA,NA
"Wright2-0645A",NA,"Cowan; Frank","Zomara",NA,NA,1873,NA,NA
"Wright2-0646",NA,"Cowdin; V. G.; Mrs.","Ellen or The fanatic's daughter",NA,NA,1860,NA,NA
"Wright2-0647",NA,"Hastings; Sybil.","Harvesting",NA,NA,1855,NA,NA
"Wright2-0648",NA,"Cox; M. H.","Emily Mayland or The faithful governess",NA,NA,1864,NA,NA
"Wright2-0650",NA,"Cozzens; Frederick Swartwout","Prismatics",NA,NA,1853,NA,NA
"Wright2-0651",NA,"Cozzens; Frederick Swartwout","The sayings of Dr. Bushwhacker and other learned men",NA,NA,1867,NA,NA
