"eaf070v2",NA,"Cooper; James Fenimore","The two admirals Vol.2",NA,NA,1842,NA,NA
"eaf071v1",NA,"Cooper; James Fenimore","The wing-and-wing or Le Feu-follet Vol.1",NA,NA,1842,NA,NA
"eaf071v2",NA,"Cooper; James Fenimore","The wing-and-wing or Le Feu-follet Vol.2",NA,NA,1842,NA,NA
"eaf072",NA,"Cooper; James Fenimore","Ned Myers or A life before the mast",NA,NA,1843,NA,NA
"eaf073v1",NA,"Cooper; James Fenimore","Wyandott&eacute; or The hutted knoll Vol.1",NA,NA,1843,NA,NA
"eaf073v2",NA,"Cooper; James Fenimore","Wyandott&eacute; or The hutted knoll Vol.2",NA,NA,1843,NA,NA
"eaf075v1",NA,"Cooper; James Fenimore","Satanstoe or The Littlepage manuscripts Vol.1",NA,NA,1845,NA,NA
"eaf075v2",NA,"Cooper; James Fenimore","Satanstoe or The Littlepage manuscripts Vol.2",NA,NA,1845,NA,NA
"eaf076v1",NA,"Cooper; James Fenimore","The chainbearer or The Littlepage manuscripts Vol.1",NA,NA,1845,NA,NA
"eaf076v2",NA,"Cooper; James Fenimore","The chainbearer or The Littlepage manuscripts Vol.2",NA,NA,1845,NA,NA
"eaf077v1",NA,"Cooper; James Fenimore","The redskins or Indian and Injin Vol.1",NA,NA,1846,NA,NA
"eaf077v2",NA,"Cooper; James Fenimore","The redskins or Indian and Injin Vol.2",NA,NA,1846,NA,NA
"eaf078v1",NA,"Cooper; James Fenimore","The crater or Vulcan's Peak Vol.1",NA,NA,1847,NA,NA
"eaf078v2",NA,"Cooper; James Fenimore","The crater or Vulcan's Peak Vol.2",NA,NA,1847,NA,NA
"eaf079v1",NA,"Cooper; James Fenimore","Jack Tier or The Florida reef Vol.1",NA,NA,1848,NA,NA
"eaf079v2",NA,"Cooper; James Fenimore","Jack Tier or The Florida reef Vol.2",NA,NA,1848,NA,NA
"eaf080v1",NA,"Cooper; James Fenimore","The oak openings or The bee-hunter Vol.1",NA,NA,1848,NA,NA
"eaf080v2",NA,"Cooper; James Fenimore","The oak openings or The bee-hunter Vol.2",NA,NA,1848,NA,NA
"eaf081v1",NA,"Cooper; James Fenimore","The sea lions or The lost sealers Vol.1",NA,NA,1849,NA,NA
"eaf081v2",NA,"Cooper; James Fenimore","The sea lions or The lost sealers Vol.2",NA,NA,1849,NA,NA
"eaf082",NA,"Cooper; James Fenimore","The ways of the hour",NA,NA,1850,NA,NA
"eaf083v1",NA,"Penfeather; Amabel","Elinor Wyllys or The young folk of Longbridge Vol.1",NA,NA,1846,NA,NA
"eaf083v2",NA,"Penfeather; Amabel","Elinor Wyllys or The young folk of Longbridge Vol.2",NA,NA,1846,NA,NA
"eaf084",NA,"Dana; Richard Henry","Poems and prose writings",NA,NA,1833,NA,NA
